Node,50-51,50-52,51-52,51-55,51-85,52-55,52-85,54-84,56-52,56-57,57-52,57-85,58-59,60-61,62-63,62-65,62-66,63-64,63-66,63-67,64-67,64-68,64-76,65-66,65-69,65-70,66-67,66-70,66-71,66-72,67-68,67-72,68-72,68-73,69-70,69-86,70-71,70-74,71-72,71-73,71-74,71-75,72-73,73-53,73-75,73-81,73-82,74-53,74-75,75-53,77-58,77-59,77-78,77-79,77-81,77-82,77-83,78-57,78-58,78-59,78-80,79-81,79-82,80-50,80-52,80-56,80-57,80-81,80-83,81-82,81-83,82-50,82-52,82-83,83-50,83-51,83-52,83-56,85-55
50,0,0,0,0,0,0,110.3455859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.045677164,0,0,108.8608202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.00515243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3.076456217,67.70306098,27.18911701,41.00358749,24.67012529,21.33694467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.2350037,0,0,0,2.422144183,0,5.452203729,0,0,21.51777012,47.52807929,2.690083073,2.674262932,0,0,0,1.417532551,0,1.038184771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.516906372,1.71210979,0,0.156883061
53,9.394103949,206.7344853,83.0232493,125.2063855,75.33138944,65.15336544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.396131338,0,16.64856087,0,0,65.70552446,145.1292285,8.214295356,8.165987812,0,0,0,4.328502406,0,3.170146094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.95322763,5.228007877,0,0.479049815
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.77336808,0,24.00284327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.523145797,1.71353093,0,0
55,74.30988746,0,21.93332423,33.07738823,19.90126625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.50538703,131.6945917,0,0,0,0,0,2.170076513,2.157314485,0,0,0,34.23961757,0,25.07670777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.66108001,3.111555162,0,0.126556778
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.719583,0,73.76588082,172.1,0,0,0,0,0.342968205,18.5,0,18.25107146,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,23.12023914,5.266047734,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.55405405,26.4626261,0,0,0,0,0,0,0,0,88.91277641,20.3009828,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.85840005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1.922250231,0,0.56737184,0.855646797,0.514806508,0,0,0,0,0,2.792817602,22.94472436,1.293459948,0.900341764,0,0,0,0,5.326475756,23.16217082,199.9754281,99.3479733,16.61395939,83.24498806,0,0,0,0,0,0,0,0,1.513418975,0,0,0.393270955,3.013408399,0,0,0.056135599,0.055805471,0,2.806544115,2.760587525,5.935161183,1.857610386,4.346844769,0,4.009819459,2.599425141,0.135435854,0,0.224004971,0,0,11.92043656,12.08302081,0,0,2.96293814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.512489351,0.344496485,9.955287708,0.003273774
