Node,50-51,50-52,51-52,51-55,51-85,52-55,52-85,54-84,56-52,56-57,57-52,57-85,58-59,60-61,62-63,62-65,62-66,63-64,63-66,63-67,64-67,64-68,64-76,65-66,65-69,65-70,66-67,66-70,66-71,66-72,67-68,67-72,68-72,68-73,69-70,69-86,70-71,70-74,71-72,71-73,71-74,71-75,72-73,73-53,73-75,73-81,73-82,74-53,74-75,75-53,77-58,77-59,77-78,77-79,77-81,77-82,77-83,78-57,78-58,78-59,78-80,79-81,79-82,80-50,80-52,80-56,80-57,80-81,80-83,81-82,81-83,82-50,82-52,82-83,83-50,83-51,83-52,83-56,85-55
50,0,0,0,0,0,0,0,0,0,0,0,360.9044894,0,454.8226232,348.8743398,423.212368,285.8197623,24.7576216,7.272132764,61.7656894,29.65780008,21.75559307,56.36676387,0,34.32274437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.6163369,115.618144,0,471.5232674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,127.8,93.1,63.8536065,18.01685053,4.626160747,19.70052128,0,0,0,0,0,129.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,5.889508132,3.842106307,15.72582656,15.8141739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,0.341233637,3.371757239,0,8.903431178,355.3,298.1,449.8,703,145.8902947,82.64719146,72.32345575,217.8683662,0,3.365890763,0,85.84988133,0,122.4622155,142.5495429,94.12349684,166.354132,76.80683117,0,0,117.9360891,0
54,30.5903279,24.15523958,0,82.41999599,0,27.01199294,0,0,0,0,2.236779421,0.428256623,0,0.539701795,0.413981402,0.502192422,0.339159556,1.408234798,0.413645163,3.513285508,1.686961163,1.237476835,3.206189983,0,1.952307204,0,0,0,16.86707567,4.759192124,1.222010904,5.203937589,41.36067499,22.13637519,9.08338602,4.226459819,35.89766609,0,10.13172621,0,0,0,2.247773043,64.30609857,0,66.04300314,260.7794621,17.48077644,62.33557525,61.80739375,1.899421961,11.82319054,0,0,0,0,0,0,0,0,0,0,0,0,0,17.36904574,1.661576641,1.664472635,0,0,0,0,0,0,0,390.3763314,0,0,0
55,0,0,0,0,0,0,313.4104919,204.4578937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15876636,179.4282428,989.8,473.7965688,0,0,0,0,0,0,0,0,0,179.1160579,0,0,0,0,0,0,139.4775182,64.39771628,0,0,0,0
56,0,0,0,0,0,0,0,0,1.704881488,1.714459474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.30970531,196.0528085,32.37654425,97.53163378,0,0,0,203.6501187,0,64.95494836,75.6094291,223.2765032,196.8683498,90.89545255,0,0,279.7639109,0
57,0,0,0,0,0,0,0,0,0,0,0,3.398385744,17.74972968,4.282747275,3.285106219,3.985095558,2.691365261,0.662120331,0.194486653,1.651867833,0.7931712,0.581833778,1.507478424,0,0.917930941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1.399249879,1.104898783,1.976572149,0,1.793448552,1.235571191,0,0,0,0,1.973150261,0.37778185,0,0.476091978,0.365189122,0.443003498,0.299185856,1.56563807,0.459879713,3.905977575,1.875518644,1.375793899,3.564556921,0,2.17052333,0,0,0,1.624895303,0.458478344,0.117722824,0.501323046,50.84533872,16.07351904,6.595568465,3.068889183,26.065777,0,2.198147385,0,0,0,1.982848164,79.05251459,320.5803601,81.18771914,0,21.48939782,76.63011879,75.98081682,2.334989769,8.584977291,0,0,0,0,0,0,0,0,0,0,0,0,0,21.35204548,0.360490431,0.361118737,0,0,0,0,0,0,0,0,0,0,0
59,68.48040496,54.07462758,89.24492884,14.28624212,80.97664867,60.46983941,0,0,0,0,5.310659711,1.01678564,0,1.28138365,0.982892785,1.192327253,0.805247478,3.39592588,0.997495812,8.472207331,4.068068108,2.984146974,7.731653522,0,4.707943994,0,0,0,37.89749638,10.69310827,2.745654001,11.6923769,100.52859,51.99714211,21.33638004,9.927724389,84.32166645,0,22.96244676,23.68970732,2.623804878,20.92658537,5.336761252,156.2982572,588.6316275,160.5198654,45.20211984,42.48764817,151.5088302,150.2250663,4.616612556,27.77203195,0,0,0,0,0,0,0,0,0,0,0,0,0,42.21608273,3.765781305,3.772344759,0,0,0,0,0,0,0,0,0,0,23.8
